Match Id,Time,MMR,Radiant_win,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10,Bans_1,Bans_2,Bans_3,Bans_4,Bans_5
4256062415,1544024576,7174,True,38.0,106.0,26.0,62.0,44.0,107.0,79.0,119.0,97.0,8.0,32.0,,,,
4256054122,1544024320,7066,False,38.0,26.0,93.0,106.0,50.0,41.0,107.0,111.0,104.0,74.0,47.0,44.0,,,
4256063765,1544024704,7109,True,121.0,45.0,1.0,50.0,13.0,44.0,31.0,47.0,97.0,84.0,,,,,
4256069321,1544024832,6993,True,86.0,114.0,93.0,121.0,28.0,78.0,25.0,44.0,90.0,97.0,111.0,36.0,34.0,,
4256080475,1544025344,7104,True,111.0,82.0,112.0,50.0,93.0,29.0,44.0,41.0,95.0,90.0,97.0,2.0,,,
4256088332,1544025600,7000,False,19.0,50.0,45.0,1.0,74.0,76.0,109.0,97.0,44.0,31.0,105.0,2.0,,,
4256082778,1544025472,6910,True,1.0,85.0,68.0,76.0,16.0,114.0,8.0,50.0,78.0,26.0,80.0,97.0,121.0,,
4256101631,1544026240,7668,True,76.0,97.0,88.0,50.0,44.0,93.0,35.0,55.0,103.0,86.0,82.0,114.0,,,
4256110722,1544026496,7081,False,111.0,93.0,50.0,74.0,41.0,5.0,76.0,121.0,44.0,29.0,97.0,78.0,,,
4256093255,1544025856,6877,True,34.0,62.0,79.0,97.0,93.0,74.0,85.0,86.0,16.0,44.0,45.0,76.0,,,
4256073650,1544025088,6878,True,64.0,100.0,50.0,114.0,93.0,12.0,76.0,101.0,69.0,97.0,38.0,44.0,,,
4256085272,1544025472,6850,True,44.0,112.0,100.0,74.0,45.0,10.0,2.0,7.0,31.0,25.0,93.0,97.0,,,
4256126489,1544027136,7106,True,44.0,45.0,90.0,97.0,100.0,86.0,25.0,31.0,93.0,50.0,72.0,,,,
4256120479,1544026880,7053,True,51.0,17.0,111.0,97.0,1.0,98.0,101.0,31.0,114.0,109.0,46.0,44.0,2.0,,
4256129635,1544027264,6986,False,105.0,97.0,44.0,114.0,87.0,4.0,38.0,100.0,34.0,50.0,16.0,12.0,,,
4256123750,1544027136,6925,False,21.0,27.0,77.0,101.0,25.0,97.0,29.0,31.0,44.0,26.0,83.0,8.0,89.0,41.0,
4256137769,1544027648,7567,True,114.0,85.0,50.0,10.0,86.0,38.0,97.0,100.0,44.0,23.0,76.0,,,,
4256131519,1544027392,6994,False,110.0,12.0,44.0,111.0,76.0,34.0,107.0,31.0,93.0,19.0,41.0,2.0,97.0,16.0,
4256129758,1544027392,6918,False,107.0,121.0,44.0,92.0,38.0,86.0,97.0,3.0,8.0,114.0,,,,,
4256133260,1544027520,6876,False,45.0,89.0,31.0,96.0,121.0,78.0,76.0,27.0,109.0,90.0,44.0,114.0,85.0,,
4256155952,1544028416,7150,False,65.0,2.0,26.0,86.0,44.0,49.0,16.0,121.0,97.0,67.0,46.0,120.0,,,
4256144419,1544027904,6998,True,1.0,22.0,86.0,2.0,121.0,41.0,97.0,76.0,26.0,33.0,44.0,75.0,,,
4256158179,1544028544,7069,True,78.0,8.0,86.0,79.0,100.0,48.0,29.0,103.0,59.0,90.0,93.0,44.0,91.0,,
4256169737,1544029056,7013,True,35.0,38.0,85.0,44.0,86.0,100.0,11.0,121.0,16.0,93.0,97.0,2.0,,,
4256180977,1544029568,6994,False,3.0,8.0,33.0,111.0,45.0,2.0,101.0,121.0,44.0,50.0,114.0,16.0,97.0,,
4256166064,1544028928,6967,True,111.0,44.0,9.0,86.0,2.0,97.0,8.0,78.0,31.0,89.0,87.0,59.0,,,
4256171595,1544029184,6918,True,114.0,53.0,106.0,101.0,111.0,41.0,98.0,94.0,107.0,50.0,97.0,16.0,,,
4256170265,1544029056,6869,False,38.0,86.0,6.0,50.0,8.0,78.0,44.0,97.0,3.0,114.0,80.0,121.0,103.0,,
4256192855,1544030080,7180,True,89.0,27.0,92.0,33.0,97.0,121.0,48.0,86.0,19.0,34.0,50.0,78.0,,,
4256183570,1544029568,6846,True,7.0,76.0,41.0,120.0,50.0,111.0,100.0,80.0,6.0,21.0,44.0,93.0,,,
4256211718,1544030848,7201,True,96.0,8.0,71.0,101.0,9.0,84.0,90.0,23.0,93.0,78.0,44.0,3.0,,,
4256207222,1544030720,6882,False,86.0,6.0,28.0,1.0,31.0,121.0,97.0,91.0,8.0,94.0,44.0,59.0,38.0,,
4256175022,1544029312,6811,False,6.0,2.0,109.0,110.0,85.0,9.0,97.0,1.0,13.0,50.0,80.0,44.0,62.0,,
4256221056,1544031360,7206,True,100.0,120.0,44.0,78.0,10.0,86.0,109.0,16.0,6.0,85.0,3.0,82.0,,,
4256224234,1544031488,7014,False,86.0,114.0,101.0,76.0,120.0,97.0,72.0,91.0,83.0,56.0,44.0,62.0,,,
4256211982,1544030976,6896,False,63.0,80.0,2.0,85.0,86.0,76.0,44.0,78.0,31.0,26.0,121.0,97.0,,,
4256204231,1544030592,6840,False,23.0,2.0,97.0,121.0,95.0,111.0,110.0,93.0,86.0,22.0,78.0,42.0,44.0,6.0,
4256210808,1544030848,6853,True,23.0,97.0,1.0,114.0,31.0,120.0,86.0,75.0,34.0,44.0,41.0,82.0,45.0,,
4256199452,1544030336,6795,False,86.0,100.0,1.0,40.0,45.0,44.0,50.0,74.0,16.0,121.0,77.0,97.0,,,
4256229212,1544031744,7132,False,100.0,93.0,76.0,31.0,19.0,109.0,9.0,110.0,97.0,86.0,113.0,50.0,44.0,,
4256228375,1544031616,6973,False,86.0,49.0,107.0,31.0,93.0,50.0,45.0,97.0,16.0,1.0,44.0,67.0,59.0,,
4256238641,1544032128,6956,False,90.0,97.0,121.0,1.0,10.0,27.0,93.0,78.0,19.0,50.0,120.0,44.0,,,
4256250828,1544032768,7016,False,114.0,26.0,97.0,87.0,80.0,44.0,31.0,21.0,103.0,38.0,121.0,95.0,93.0,53.0,
4256246691,1544032512,6813,True,121.0,27.0,34.0,97.0,93.0,101.0,98.0,119.0,9.0,15.0,82.0,44.0,,,
4256271144,1544033792,7217,True,96.0,6.0,86.0,121.0,94.0,48.0,44.0,111.0,55.0,97.0,93.0,38.0,23.0,,
4256265153,1544033408,7014,True,86.0,87.0,44.0,59.0,114.0,7.0,10.0,31.0,80.0,121.0,82.0,101.0,93.0,97.0,
