Match Id,Time,MMR
4255766288,12/5/2018 12:54,7339
4255759761,12/5/2018 12:52,7246
4255735189,12/5/2018 12:37,7093
4255743598,12/5/2018 12:41,6988
4255751251,12/5/2018 12:45,6944
4255745320,12/5/2018 12:43,6863
4255766472,12/5/2018 12:54,6947
4255768009,12/5/2018 12:56,7019
4255746546,12/5/2018 12:43,6982
4255781049,12/5/2018 13:02,6935
4255790193,12/5/2018 13:09,6873
4255780442,12/5/2018 13:02,6805
4255808674,12/5/2018 13:17,7316
4255798867,12/5/2018 13:13,7145
4255833275,1544016768,7687
4255832396,1544016640,7138
4255835347,1544016768,7113
4255823693,1544016384,6894
4255844215,1544017152,7360
4255858506,1544017536,6986
4255860370,1544017664,6924
4255893912,1544018688,7167
4255876090,1544018176,7005
4255891168,1544018688,7065
4255850575,1544017280,6902
4255909431,1544019200,7604
4255900664,1544018944,7144
4255902095,1544018944,7111
4255906591,1544019200,7108
4255930223,1544019968,7232
4255944539,1544020352,7146
4255955300,1544020736,7075
4255987496,1544021888,7202
4255973983,1544021376,7028
4255990367,1544022016,7234
4256000928,1544022400,7033
4255934941,1544020096,7016
4255968403,1544021248,6992
4255974175,1544021376,7001
4255978626,1544021632,6937
4256004691,1544022528,6923
4256027377,1544023296,6951
4256045553,1544023936,7123
4256046128,1544024064,7188
4256043315,1544023936,7036
4256017942,1544022912,6918
4256062415,1544024576,7174
4256054122,1544024320,7066
4256063765,1544024704,7109
4256069321,1544024832,6993
4256080475,1544025344,7104
4256088332,1544025600,7000
4256082778,1544025472,6910
4256101631,1544026240,7668
4256110722,1544026496,7081
4256093255,1544025856,6877
4256073650,1544025088,6878
4256085272,1544025472,6850
4256126489,1544027136,7106
4256120479,1544026880,7053
4256129635,1544027264,6986
4256123750,1544027136,6925
4256137769,1544027648,7567
4256131519,1544027392,6994
4256129758,1544027392,6918
4256133260,1544027520,6876
4256155952,1544028416,7150
4256144419,1544027904,6998
4256158179,1544028544,7069
4256169737,1544029056,7013
4256180977,1544029568,6994
4256166064,1544028928,6967
4256171595,1544029184,6918
4256170265,1544029056,6869
4256192855,1544030080,7180
4256183570,1544029568,6846
4256211718,1544030848,7201
4256207222,1544030720,6882
4256175022,1544029312,6811
4256221056,1544031360,7206
4256224234,1544031488,7014
4256211982,1544030976,6896
4256204231,1544030592,6840
4256210808,1544030848,6853
4256199452,1544030336,6795
4256229212,1544031744,7132
4256228375,1544031616,6973
4256238641,1544032128,6956
4256250828,1544032768,7016
4256246691,1544032512,6813
4256271144,1544033792,7217
4256265153,1544033408,7014
4256268617,1544033664,6848
4256248932,1544032640,6800
4256280431,1544034176,7244
4256284324,1544034432,6863
4256293423,1544034816,7153
4256293846,1544034816,6850
4256296487,1544035072,6832
